                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.54879,                0.59155,                 1.0492,                0.75903,                0.95285,                 0.8225,                0.68755,                0.45718,                  97.94,                0.80231,             0.00012531,             0.00012531,             0.00012531
                     65,                0.55209,                0.58168,                  1.054,                0.79699,                0.85134,                0.95804,                0.80533,                0.45017,                 89.673,                0.79093,             0.00012201,             0.00012201,             0.00012201
                     66,                 0.5297,                0.55722,                 1.0436,                0.81268,                0.85926,                0.80279,                0.65545,                0.42994,                 88.646,                0.75187,             0.00011871,             0.00011871,             0.00011871
                     67,                 0.5406,                0.57634,                 1.0563,                0.81691,                0.85926,                 0.7888,                0.65331,                0.46751,                  90.71,                0.81168,             0.00011542,             0.00011542,             0.00011542
                     68,                0.52358,                  0.548,                 1.0408,                0.82303,                0.82949,                0.97595,                0.83745,                0.45655,                 83.947,                0.79897,             0.00011212,             0.00011212,             0.00011212
                     69,                0.52954,                0.56429,                 1.0412,                0.81857,                 0.7912,                0.95339,                0.83273,                0.42382,                 82.734,                0.75514,             0.00010882,             0.00010882,             0.00010882
                     70,                0.52851,                0.55827,                 1.0408,                0.79008,                 0.8284,                0.96679,                 0.8442,                0.38048,                 87.137,                   0.71,             0.00010553,             0.00010553,             0.00010553
                     71,                0.53104,                0.56755,                 1.0465,                0.81812,                0.79015,                0.95446,                0.82306,                0.41811,                 93.017,                0.74356,             0.00010223,             0.00010223,             0.00010223
                     72,                0.52409,                0.54183,                 1.0363,                0.82747,                 0.7637,                0.94019,                0.81228,                0.38975,                 89.915,                0.70331,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     73,                0.52598,                0.55278,                  1.036,                0.81273,                0.85926,                0.79083,                0.67543,                0.41129,                 87.448,                0.73412,             9.5638e-05,             9.5638e-05,             9.5638e-05
